STANDARD_NAME	MORF_MDM2
SYSTEMATIC_NAME	M5734
COLLECTION	C4:CGN
MSIGDB_URL	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/MORF_MDM2
NAMESPACE	HUMAN_GENE_SYMBOL
DESCRIPTION_BRIEF	Neighborhood of MDM2
DESCRIPTION_FULL	Neighborhood of MDM2 Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)  in the MORF expression compendium
PMID	
GEOID	
AUTHORS	
CONTRIBUTOR	Aravind Subramanian
CONTRIBUTOR_ORG	MSigDB Team
EXACT_SOURCE	
FILTERED_BY_SIMILARITY	
EXTERNAL_NAMES_FOR_SIMILAR_TERMS	
EXTERNAL_DETAILS_URL	
